word,part_of_speech,phonetic,definition,example,synonyms,antonyms,usage_notes,audio_url,image_url,level
hostile,adjective,/ˈhɒstaɪl/,,unsolicited and resisted by the management of the target company (used of attempts to buy or take control of a business),uncongenial;unfriendly,amicable;friendly,,,,托福雅思词汇
hostile,adjective,/ˈhɒstaɪl/,极不利于生存或生长,a hostile climate,uncongenial;unfriendly,amicable;friendly,,,,托福雅思词汇
identical,adjective,/aɪˈdɛntɪkəl/,完全相同的那个,not any other:,monovular,fraternal,,,,托福雅思词汇
identical,adjective,/aɪˈdɛntɪkəl/,一模一样,incapable of being perceived as different,monovular,fraternal,,,,托福雅思词汇
inadequate,adjective,/ɪnˈædɪkwət/,数量不足，无法满足需求,an inadequate income,poor;short,adequate,,,,托福雅思词汇
incidental,adjective,/ˌɪnsɪˈdɛntl/,（有时后接“to”）次要的、随意的、附属的，在重要性或性质上较为轻微，或作为偶然伴随或结果发生。,incidental expenses,nonessential;attendant;consequent;accompanying;concomitant;ensuant;resultant;sequent,basic,,,,托福雅思词汇
integral,adjective,/ˈɪntɪɡrəl/,构成完整无损的整体,lacking nothing essential especially not damaged,built-in;constitutional;inbuilt;inherent;entire;intact,,,,,托福雅思词汇
lenient,adjective,/ˈliːniənt/,不严格,an easy teacher,indulgent;soft,,,,,托福雅思词汇
likely,adjective,/ˈlaɪkli/,很有可能成为现实或发生,these services are likely to be available to us all before long,potential,unlikely;improbable,,,,托福雅思词汇
major,adjective,/ˈmeɪdʒə/,范围更广或影响更大,a major contribution,,minor,,,,托福雅思词汇
material,adjective,məˈtɪəɹiəl,与案件直接相关，尤指法律案件,his support made a material difference,corporeal;substantial;real,immaterial;incorporeal;insubstantial,,,,托福雅思词汇
outdated,adjective,/aʊtˈdeɪtɪd/,老,no longer valid or fashionable,out-of-date;superannuated,,,,,托福雅思词汇
partial,adjective,/ˈpɑːʃəl/,仅部分存在或影响,not total,fond,impartial,,,,托福雅思词汇
potent,adjective,/ˈpəʊt(ə)nt/,具有强烈的生理或化学作用,a potent toxin,strong;stiff;virile,impotent,,,,托福雅思词汇
primary,adjective,/ˈpraɪməri/,首要的,direct and immediate rather than secondary,chief;main;principal;master;elementary;elemental;basal,secondary,,,,托福雅思词汇
rank,adjective,/ɹæŋk/,茂盛生长,,crying;egregious;flagrant;glaring;gross;absolute;downright;out-and-out;right-down;sheer,,,,,托福雅思词汇
rigid,adjective,/ˈrɪdʒɪd/,无法弯曲或难以弯曲,a rigid strip of metal,stiff;strict;inflexible;unbending;fixed;set,nonrigid,,,,托福雅思词汇
rural,adjective,/ˈrʊərəl/,乡村的或具有乡村生活特色的,rural people,,urban,,,,托福雅思词汇
severe,adjective,/sɪˈvɪə/,严苛无情，铁面无私,a parent severe to the pitch of hostility- H.G.Wells,terrible;wicked;hard;knockout;austere;stark;stern;spartan;dangerous;grave;grievous;serious;life-threatening,,,,,托福雅思词汇
severe,adjective,/sɪˈvɪə/,极其恶劣或令人极度不适,severe pain,terrible;wicked;hard;knockout;austere;stark;stern;spartan;dangerous;grave;grievous;serious;life-threatening,,,,,托福雅思词汇
shallow,adjective,/ˈʃæləʊ/,不深不浓,not affecting one deeply,,deep,,,,托福雅思词汇
shallow,adjective,/ˈʃæləʊ/,缺乏实体深度,having little spatial extension downward or inward from an outer surface or backward or outward from a center,,deep,,,,托福雅思词汇
significant,adjective,/sɪɡˈnɪfɪkənt/,意义重大,a significant change in tax laws,substantial;meaning;pregnant,insignificant;nonsignificant,,,,托福雅思词汇
stable,adjective,/ˈsteɪbəl/,不易受位置或条件变化影响,a stable ladder,static;unchanging,unstable,,,,托福雅思词汇
superficial,adjective,/ˌsuːpəˈfɪʃəl/,只关注或理解表面或显而易见的事物,not deep or penetrating emotionally or intellectually,trivial,profound,,,,托福雅思词汇
technical,adjective,/ˈtɛknɪkəl/,具备应用艺术与科学领域的专业技能或专门知识,a technical problem,expert,nontechnical,,,,托福雅思词汇
terminal,adjective,/ˈtɜːmɪnəl/,位于末端,the endmost pillar,concluding;final;last,intermediate,,,,托福雅思词汇
continuously,adverb,/kənˈtɪnjuəsli/,在每一点上,The function is continuously differentiable,endlessly;ceaselessly;incessantly;unceasingly;unendingly,,,,,托福雅思词汇
haphazard,adverb,/hæpˈhæzəd/,毫不在意,in a slapdash manner,haphazardly,,haphazardly,,,托福雅思词汇
jointly,adverb,/ˈdʒɔɪntli/,结合,combined,collectively;conjointly;together with,,collectively conjointly  together with,,,托福雅思词汇
jointly,adverb,/ˈdʒɔɪntli/,合作或协作,this paper was written jointly,collectively;conjointly;together with,,,,,托福雅思词汇
wholly,adverb,/ˈhəʊli/,完全地或全部地（“whole”常用于非正式场合表示“wholly”）,he was wholly convinced,entirely;completely;totally;all;altogether;whole,partly,entirely completely  totally  all  altogethe whole  right,,,托福雅思词汇
abundance,noun,/əˈbʌndəns/,充裕的特性；丰足的时代,,copiousness;teemingness,scarcity,ratio | hypernyms:quantity;ratio | hyponyms:amplitude;luxuriance;overabundance;plenty;profusion;wealth,,,托福雅思词汇
abundance,noun,/əˈbʌndəns/,地壳中某元素总质量与地壳总质量之比；以百分比或百万分比表示,,copiousness;teemingness,scarcity,ratio | hypernyms:quantity;ratio | hyponyms:amplitude;luxuriance;overabundance;plenty;profusion;wealth,,,托福雅思词汇
abundance,noun,/əˈbʌndəns/,特定同位素原子数与该元素总同位素原子数之比,,copiousness;teemingness,scarcity,ratio | hypernyms:quantity;ratio | hyponyms:amplitude;luxuriance;overabundance;plenty;profusion;wealth,,,托福雅思词汇
active,noun,/ˈæktɪv/,组织的参与成员；俱乐部会发布一份成员名单，包括活跃成员和退休成员。,,active agent;active voice,passive voice,voice | person | hypernyms:chemical agent;voice;person,,,托福雅思词汇
addiction,noun,/əˈdɪkʃən/,（罗马法）指裁判官将某物或某人正式判给另一人（如将债务人判给其债权人）；即向主人投降；在罗马法中，成瘾是奴役的正当理由。,,dependence;dependance;dependency;habituation,,craving | award | hypernyms:physical condition;craving;award | hyponyms:drug addiction,,,托福雅思词汇
addiction,noun,/əˈdɪkʃən/,异常强烈的渴望,,dependence;dependance;dependency;habituation,,craving | award | hypernyms:physical condition;craving;award | hyponyms:drug addiction,,,托福雅思词汇
addiction,noun,/əˈdɪkʃən/,对某种心理或生理上易成瘾的物质（特别是酒精或麻醉药品）异常耐受且依赖。,,dependence;dependance;dependency;habituation,,craving | award | hypernyms:physical condition;craving;award | hyponyms:drug addiction,,,托福雅思词汇
advantage,noun,/ədˈvɑːntɪdʒ/,因某事或行动而获得的益处；结果对我有利；慷慨带来的回报。,,vantage;reward,disadvantage;penalty,point | benefit | hypernyms:asset;point;benefit | hyponyms:expedience;favor;favorableness;good;handicap;homecourt advantage;lead;leverage;preference;privilege;profit;pull;start;superiority;tax advantage,,,托福雅思词汇
advantage,noun,/ədˈvɑːntɪdʒ/,优势；那次经历让他占了我的上风。,,vantage;reward,disadvantage;penalty,point | benefit | hypernyms:asset;point;benefit | hyponyms:expedience;favor;favorableness;good;handicap;homecourt advantage;lead;leverage;preference;privilege;profit;pull;start;superiority;tax advantage,,,托福雅思词汇
advantage,noun,/ədˈvɑːntɪdʒ/,占先,,vantage;reward,disadvantage;penalty,point | benefit | hypernyms:asset;point;benefit | hyponyms:expedience;favor;favorableness;good;handicap;homecourt advantage;lead;leverage;preference;privilege;profit;pull;start;superiority;tax advantage,,,托福雅思词汇
advocate,noun,/ˈædvəkət/,倡导者,,advocator;proponent;exponent;counsel;counselor;counsellor;counselor-at-law;pleader,,lawyer | hypernyms:person;lawyer | hyponyms:apologist;constitutionalist;darwinian;democrat;federalist;gnostic;humanist;ideologist;internationalist;irredentist;isolationist;jansenist;libertarian;maoist;marxist;nationalist;neoclassicist;neutralist;nullifier;partisan;partitionist;platonist;presenter;pro-lifer;protectionist;republican;ritualist;ruralist;secessionist;secularist;separatist;spokesperson;suffragist;supporter;supremacist;teleologist;thatcherite;unilateralist,,,托福雅思词汇
advocate,noun,/ˈædvəkət/,出庭律师,,advocator;proponent;exponent;counsel;counselor;counsellor;counselor-at-law;pleader,,lawyer | hypernyms:person;lawyer | hyponyms:apologist;constitutionalist;darwinian;democrat;federalist;gnostic;humanist;ideologist;internationalist;irredentist;isolationist;jansenist;libertarian;maoist;marxist;nationalist;neoclassicist;neutralist;nullifier;partisan;partitionist;platonist;presenter;pro-lifer;protectionist;republican;ritualist;ruralist;secessionist;secularist;separatist;spokesperson;suffragist;supporter;supremacist;teleologist;thatcherite;unilateralist,,,托福雅思词汇
aggregate,noun,/ˈæɡrɪɡət/,多种异质事物的总和,,sum;total;totality;congeries;conglomeration,,material | sum | hypernyms:whole;material;sum,,,托福雅思词汇
aggregate,noun,/ˈæɡrɪɡət/,骨料，如沙或砾石，与水泥和水混合制成混凝土、砂浆或灰泥。,,sum;total;totality;congeries;conglomeration,,material | sum | hypernyms:whole;material;sum,,,托福雅思词汇
amateur,noun,/ˈæmətə/,业余爱好者,,,professional,athlete | sporting man | hypernyms:person;athlete | hyponyms:bird watcher;dabbler;hobbyist;sporting man,,,托福雅思词汇
amateur,noun,/ˈæmətə/,非职业运动员,,,professional,athlete | sporting man | hypernyms:person;athlete | hyponyms:bird watcher;dabbler;hobbyist;sporting man,,,托福雅思词汇
annual,noun,/ˈænjuəl/,每年定期出版一次的参考书,,yearly;yearbook,,reference book | hypernyms:plant;reference book | hyponyms:almanac;ephemeris,,,托福雅思词汇
annual,noun,/ˈænjuəl/,一年生植物,,yearly;yearbook,,reference book | hypernyms:plant;reference book | hyponyms:almanac;ephemeris,,,托福雅思词汇
anomaly,noun,/əˈnɒməli/,近日点角距,,anomalousness;unusual person,,person | position | aberrant;albino;anachronism;automaton;eccentric;giant;jekyll and hyde;kook;misfit;rare bird;transsexual;ugly duckling | hypernyms:abnormality;person;position | hyponyms:birth defect;aberrant;albino;anachronism;automaton;eccentric;giant;jekyll and hyde;kook;misfit;rare bird;transsexual;ugly duckling,,,托福雅思词汇
anomaly,noun,/əˈnɒməli/,与众不同的人,,anomalousness;unusual person,,person | position | aberrant;albino;anachronism;automaton;eccentric;giant;jekyll and hyde;kook;misfit;rare bird;transsexual;ugly duckling | hypernyms:abnormality;person;position | hyponyms:birth defect;aberrant;albino;anachronism;automaton;eccentric;giant;jekyll and hyde;kook;misfit;rare bird;transsexual;ugly duckling,,,托福雅思词汇
anomaly,noun,/əˈnɒməli/,偏离常规或常见秩序、形式或规则,,anomalousness;unusual person,,person | position | aberrant;albino;anachronism;automaton;eccentric;giant;jekyll and hyde;kook;misfit;rare bird;transsexual;ugly duckling | hypernyms:abnormality;person;position | hyponyms:birth defect;aberrant;albino;anachronism;automaton;eccentric;giant;jekyll and hyde;kook;misfit;rare bird;transsexual;ugly duckling,,,托福雅思词汇
attitude,noun,/ˈætɪtjuːd/,为效果而设计的戏剧性姿态；演员摆出了恰到好处的姿势。,,mental attitude;position;posture,,bodily property | affectation | orientation | asana;ballet position;decubitus;ectopia;eversion;guard;lithotomy position;lotus position;missionary position;order arms;pose;presentation;sprawl;stance;tuck | trim | hypernyms:cognition;bodily property;affectation;orientation | hyponyms:credence;culture;defensive;disrespect;hardball;high horse;inclination;intolerance;irreverence;mentality;orientation;paternalism;position;respect;reverence;southernism;tolerance;asana;ballet position;decubitus;ectopia;eversion;guard;lithotomy position;lotus position;missionary position;order arms;pose;presentation;sprawl;stance;tuck;trim,,,托福雅思词汇
attitude,noun,/ˈætɪtjuːd/,一种复杂的心理状态，包含信念、情感、价值观以及特定行为倾向；他认为工作是一种乐趣。,,mental attitude;position;posture,,bodily property | affectation | orientation | asana;ballet position;decubitus;ectopia;eversion;guard;lithotomy position;lotus position;missionary position;order arms;pose;presentation;sprawl;stance;tuck | trim | hypernyms:cognition;bodily property;affectation;orientation | hyponyms:credence;culture;defensive;disrespect;hardball;high horse;inclination;intolerance;irreverence;mentality;orientation;paternalism;position;respect;reverence;southernism;tolerance;asana;ballet position;decubitus;ectopia;eversion;guard;lithotomy position;lotus position;missionary position;order arms;pose;presentation;sprawl;stance;tuck;trim,,,托福雅思词汇
attitude,noun,/ˈætɪtjuːd/,飞行器或航天器相对于参考系（地平线或运动方向）的位置,,mental attitude;position;posture,,bodily property | affectation | orientation | asana;ballet position;decubitus;ectopia;eversion;guard;lithotomy position;lotus position;missionary position;order arms;pose;presentation;sprawl;stance;tuck | trim | hypernyms:cognition;bodily property;affectation;orientation | hyponyms:credence;culture;defensive;disrespect;hardball;high horse;inclination;intolerance;irreverence;mentality;orientation;paternalism;position;respect;reverence;southernism;tolerance;asana;ballet position;decubitus;ectopia;eversion;guard;lithotomy position;lotus position;missionary position;order arms;pose;presentation;sprawl;stance;tuck;trim,,,托福雅思词汇
attribute,noun,/ˈætrɪbjuːt/,属于或表征某一实体的抽象概念,,property;dimension,,abstraction | ballast;character;cheerfulness;common denominator;depth;eidos;ethos;human nature;inheritance;personality;property;quality;shape;space;state;thing;time;trait;uncheerfulness | hypernyms:concept;abstraction | hyponyms:feature;feature of speech;quality;ballast;character;cheerfulness;common denominator;depth;eidos;ethos;human nature;inheritance;personality;property;shape;space;state;thing;time;trait;uncheerfulness,,,托福雅思词汇
backwater,noun,/ˈbækˌwɔːtə/,停滞不前的地方或状态；该国经济处于落后状态。,,,,region | hypernyms:body of water;region,,,托福雅思词汇
backwater,noun,/ˈbækˌwɔːtə/,由洪水、潮汐或水坝拦截形成的水域；牛轭湖和回水区是蚊子的滋生地。,,,,region | hypernyms:body of water;region,,,托福雅思词汇
benefit,noun,/ˈbɛnɪfɪt/,有益于或促进福祉的事物；为所有人谋福利。,,welfare,,good | performance | advantage;sake | benefit concert | hypernyms:payment;good;performance | hyponyms:cost-of-living benefit;death benefit;disability benefit;fringe benefit;sick benefit;stock option;advantage;sake;benefit concert,,,托福雅思词汇
benefit,noun,/ˈbɛnɪfɪt/,为慈善事业筹款的演出,,welfare,,good | performance | advantage;sake | benefit concert | hypernyms:payment;good;performance | hyponyms:cost-of-living benefit;death benefit;disability benefit;fringe benefit;sick benefit;stock option;advantage;sake;benefit concert,,,托福雅思词汇
benefit,noun,/ˈbɛnɪfɪt/,急需时的经济援助,,welfare,,good | performance | advantage;sake | benefit concert | hypernyms:payment;good;performance | hyponyms:cost-of-living benefit;death benefit;disability benefit;fringe benefit;sick benefit;stock option;advantage;sake;benefit concert,,,托福雅思词汇
boast,noun,/bəʊst/,自夸自擂,,boasting;self-praise;jactitation,,hypernyms:speech act | hyponyms:brag;braggadocio;self-assertion;vaunt,,,托福雅思词汇
boost,noun,/buːst/,给予希望或支持的行为,,encouragement;rise;hike;cost increase,,increase | push | hypernyms:aid;increase;push | hyponyms:morale building,,,托福雅思词汇
boost,noun,/buːst/,推了一把；他帮她翻过了篱笆。,,encouragement;rise;hike;cost increase,,increase | push | hypernyms:aid;increase;push | hyponyms:morale building,,,托福雅思词汇
bottleneck,noun,/ˈbɒtlˌnɛk/,瓶颈,,constriction;chokepoint,,part | hypernyms:narrowing;part,,,托福雅思词汇
bribery,noun,/ˈbraɪbəri/,行贿行为,,graft,,hypernyms:felony | hyponyms:barratry;commercial bribery,,,托福雅思词汇
brief,noun,/briːf/,简明书面摘要或概要,,legal brief,,outline | hypernyms:legal document;outline | hyponyms:amicus curiae brief,,,托福雅思词汇
brief,noun,/briːf/,陈述客户案件事实与法律要点的文件,,legal brief,,outline | hypernyms:legal document;outline | hyponyms:amicus curiae brief,,,托福雅思词汇
burden,noun,/ˈbɜːdən/,一个沉重的负担；责任的重担；这下我放心了。,,load;encumbrance;incumbrance;onus;loading;effect;essence;core;gist,,weight | meaning | idea | burthen;dead load;live load;millstone;overload;overload | hypernyms:concern;weight;meaning;idea | hyponyms:dead weight;fardel;imposition;pill;burthen;dead load;live load;millstone;overload,,,托福雅思词汇
burden,noun,/ˈbɜːdən/,文件或论述中展开的核心思想,,load;encumbrance;incumbrance;onus;loading;effect;essence;core;gist,,weight | meaning | idea | burthen;dead load;live load;millstone;overload;overload | hypernyms:concern;weight;meaning;idea | hyponyms:dead weight;fardel;imposition;pill;burthen;dead load;live load;millstone;overload,,,托福雅思词汇
cacophony,noun,/kəˈkɒfəni/,嘈杂刺耳的噪音,,blare;blaring;clamor;din,,dissonance | hypernyms:noise;dissonance,,,托福雅思词汇
cease,noun,/siːs/,(`cease' 仅在短语 `without cease' 中作名词) 结束,,,,hypernyms:end,,,托福雅思词汇
censure,noun,/ˈsɛnʃə/,严厉批评或反对,,animadversion;excommunication;exclusion,,rejection | hypernyms:disapprobation;rejection | hyponyms:interdict,,,托福雅思词汇
challenge,noun,/ˈtʃælɪndʒ/,哨兵要求口令或身份验证,,,,speech act | questioning | objection | demand | hypernyms:situation;speech act;questioning;objection;demand | hyponyms:call-out;calling into question;confrontation;dare;defiance;demand for identification;gauntlet,,,托福雅思词汇
challenge,noun,/ˈtʃælɪndʒ/,质疑一项声明并要求解释；他对日本仍是我们敌人的假设提出挑战。,,,,speech act | questioning | objection | demand | hypernyms:situation;speech act;questioning;objection;demand | hyponyms:call-out;calling into question;confrontation;dare;defiance;demand for identification;gauntlet,,,托福雅思词汇
challenge,noun,/ˈtʃælɪndʒ/,对特定陪审员人选的正式异议,,,,speech act | questioning | objection | demand | hypernyms:situation;speech act;questioning;objection;demand | hyponyms:call-out;calling into question;confrontation;dare;defiance;demand for identification;gauntlet,,,托福雅思词汇
challenge,noun,/ˈtʃælɪndʒ/,挑战或决斗的召唤,,,,speech act | questioning | objection | demand | hypernyms:situation;speech act;questioning;objection;demand | hyponyms:call-out;calling into question;confrontation;dare;defiance;demand for identification;gauntlet,,,托福雅思词汇
challenge,noun,/ˈtʃælɪndʒ/,面对俄罗斯力量的挑战，他们做出了非理性的反应。,,,,speech act | questioning | objection | demand | hypernyms:situation;speech act;questioning;objection;demand | hyponyms:call-out;calling into question;confrontation;dare;defiance;demand for identification;gauntlet,,,托福雅思词汇
cohesion,noun,/kəʊˈhiːʒən/,固体或液体中分子间的结合力,,coherence;coherency;cohesiveness,incoherence,growth | force | hypernyms:connection;growth;force | hyponyms:consistency;continuity,,,托福雅思词汇
cohesion,noun,/kəʊˈhiːʒən/,（植物学）合生现象,,coherence;coherency;cohesiveness,incoherence,growth | force | hypernyms:connection;growth;force | hyponyms:consistency;continuity,,,托福雅思词汇
collapse,noun,/kəˈlæps/,由物体突然坠落或塌陷引起的自然事件；屋顶有坍塌的危险；老恒星在自身重力作用下坍缩。,,prostration;flop;crash,,happening | descent | cave in;debacle;implosion | hypernyms:illness;happening;descent | hyponyms:algidity;breakdown;heatstroke;shock;cave in;debacle;implosion,,,托福雅思词汇
collapse,noun,/kəˈlæps/,功能突然失灵或体力完全耗尽；指挥官的虚脱使其部下士气低落。,,prostration;flop;crash,,happening | descent | cave in;debacle;implosion | hypernyms:illness;happening;descent | hyponyms:algidity;breakdown;heatstroke;shock;cave in;debacle;implosion,,,托福雅思词汇
commitment,noun,/kəˈmɪtmənt/,将某人正式交付监禁（如在监狱或精神病院）的行为。,,committedness;allegiance;loyalty;dedication;committal;consignment,,cooperation | engagement | message | confinement | communalism;consecration;devotion;enlistment;faith | incurrence | affirmation;assurance;oath;promise | hypernyms:seriousness;cooperation;engagement;message;confinement | hyponyms:investment;communalism;consecration;devotion;enlistment;faith;incurrence;affirmation;assurance;oath;promise,,,托福雅思词汇
commitment,noun,/kəˈmɪtmənt/,承诺；他对公共服务的长期奉献；他们对一支屡战屡败的队伍毫无忠诚可言。,,committedness;allegiance;loyalty;dedication;committal;consignment,,cooperation | engagement | message | confinement | communalism;consecration;devotion;enlistment;faith | incurrence | affirmation;assurance;oath;promise | hypernyms:seriousness;cooperation;engagement;message;confinement | hyponyms:investment;communalism;consecration;devotion;enlistment;faith;incurrence;affirmation;assurance;oath;promise,,,托福雅思词汇
commitment,noun,/kəˈmɪtmənt/,合同约定的财务义务；他的商业承诺使他前往伦敦。,,committedness;allegiance;loyalty;dedication;committal;consignment,,cooperation | engagement | message | confinement | communalism;consecration;devotion;enlistment;faith | incurrence | affirmation;assurance;oath;promise | hypernyms:seriousness;cooperation;engagement;message;confinement | hyponyms:investment;communalism;consecration;devotion;enlistment;faith;incurrence;affirmation;assurance;oath;promise,,,托福雅思词汇
commitment,noun,/kəˈmɪtmənt/,承诺之言,,committedness;allegiance;loyalty;dedication;committal;consignment,,cooperation | engagement | message | confinement | communalism;consecration;devotion;enlistment;faith | incurrence | affirmation;assurance;oath;promise | hypernyms:seriousness;cooperation;engagement;message;confinement | hyponyms:investment;communalism;consecration;devotion;enlistment;faith;incurrence;affirmation;assurance;oath;promise,,,托福雅思词汇
community,noun,/kəˈmjuːnɪti/,（生态学）一群相互依存的生物体，栖息在同一区域并相互作用。,,community of interests;residential district;residential area;biotic community,,ownership | world organization | agreement | district | group | exurbia;planned community;suburb;tenement district;uptown;warren | biome | hypernyms:gathering;ownership;world organization;agreement;district;group | hyponyms:aleut;circassian;convent;hamlet;horde;house;neighborhood;parish;speech community;ummah;village;exurbia;planned community;suburb;tenement district;uptown;warren;biome,,,托福雅思词汇
community,noun,/kəˈmjuːnɪti/,具有共同宗教、种族、职业或其他特定特征的人群；他在天主教社区中广为人知；消息在医学界迅速传播；他们组成了一个科学家团体。,,community of interests;residential district;residential area;biotic community,,ownership | world organization | agreement | district | group | exurbia;planned community;suburb;tenement district;uptown;warren | biome | hypernyms:gathering;ownership;world organization;agreement;district;group | hyponyms:aleut;circassian;convent;hamlet;horde;house;neighborhood;parish;speech community;ummah;village;exurbia;planned community;suburb;tenement district;uptown;warren;biome,,,托福雅思词汇
community,noun,/kəˈmjuːnɪti/,居住在特定地区的一群人；团队成员来自社区的各个角落。,,community of interests;residential district;residential area;biotic community,,ownership | world organization | agreement | district | group | exurbia;planned community;suburb;tenement district;uptown;warren | biome | hypernyms:gathering;ownership;world organization;agreement;district;group | hyponyms:aleut;circassian;convent;hamlet;horde;house;neighborhood;parish;speech community;ummah;village;exurbia;planned community;suburb;tenement district;uptown;warren;biome,,,托福雅思词汇
community,noun,/kəˈmjuːnɪti/,一群拥有共同利益的国家；他们希望加入北约共同体。,,community of interests;residential district;residential area;biotic community,,ownership | world organization | agreement | district | group | exurbia;planned community;suburb;tenement district;uptown;warren | biome | hypernyms:gathering;ownership;world organization;agreement;district;group | hyponyms:aleut;circassian;convent;hamlet;horde;house;neighborhood;parish;speech community;ummah;village;exurbia;planned community;suburb;tenement district;uptown;warren;biome,,,托福雅思词汇
community,noun,/kəˈmjuːnɪti/,共同所有权；他们共享财产共同体。,,community of interests;residential district;residential area;biotic community,,ownership | world organization | agreement | district | group | exurbia;planned community;suburb;tenement district;uptown;warren | biome | hypernyms:gathering;ownership;world organization;agreement;district;group | hyponyms:aleut;circassian;convent;hamlet;horde;house;neighborhood;parish;speech community;ummah;village;exurbia;planned community;suburb;tenement district;uptown;warren;biome,,,托福雅思词汇
community,noun,/kəˈmjuːnɪti/,目标一致；传教士与私酒贩子发现他们有着共同的利益。,,community of interests;residential district;residential area;biotic community,,ownership | world organization | agreement | district | group | exurbia;planned community;suburb;tenement district;uptown;warren | biome | hypernyms:gathering;ownership;world organization;agreement;district;group | hyponyms:aleut;circassian;convent;hamlet;horde;house;neighborhood;parish;speech community;ummah;village;exurbia;planned community;suburb;tenement district;uptown;warren;biome,,,托福雅思词汇
commute,noun,/kəˈmjuːt/,高速通勤中仅有站立空间，每日往返于工作地点的固定行程。,,,,hypernyms:journey,,,托福雅思词汇
