word,part_of_speech,phonetic,definition,example,synonyms,antonyms,usage_notes,audio_url,image_url,level
antibiotic,noun,ˌæntibaɪˈɒtɪk,一种从霉菌或细菌中提取的化学物质，能杀死微生物并治愈细菌感染；抗生素最初被发现时，被称为神奇药物。,,antibiotic drug,,hypernyms:antibacterial | hyponyms:actinomycin;amphotericin;antimycin;antineoplastic antibiotic;aztreonam;bacitracin;carbomycin;cephaloglycin;cephaloridine;cephalosporin;chloramphenicol;chlortetracycline;ciprofloxacin;cycloserine;dihydrostreptomycin;doxorubicin;doxycycline;erythromycin;gentamicin;gramicidin;kanamycin;lincomycin;mitomycin;mycomycin;neomycin;novobiocin;nystatin;oxytetracycline;penicillin;polymyxin;primaxin;pyocyanase;pyocyanin;spectinomycin;streptomycin;streptothricin;subtilin;tobramycin;tyrocidine;tyrothricin;vancomycin;viomycin,,,六级词汇
antonym,noun,ˈæntənɪm,反义词，即意义相反的词；对他而言，“快乐”的反义词是“沮丧”。,,opposite word;opposite,synonym,hypernyms:word | hyponyms:direct antonym;indirect antonym,,,六级词汇
ape,noun,/eɪp/,短尾或无尾灵长类动物,,copycat;imitator;emulator;aper;anthropoid,,person | misfit | epigone;parrot | hypernyms:primate;person;misfit | hyponyms:anthropoid ape;epigone;parrot,,,六级词汇
appendix,noun,/əˈpɛndɪks/,从盲肠下端延伸出的一个类似小袋的退化结构。,,vermiform appendix;vermiform process;cecal appendage,,process | hypernyms:addendum;process | hyponyms:codicil;shirttail,,,六级词汇
appendix,noun,/əˈpɛndɪks/,附录,,vermiform appendix;vermiform process;cecal appendage,,process | hypernyms:addendum;process | hyponyms:codicil;shirttail,,,六级词汇
apprentice,noun,/əˈprentɪs/,行家学艺,,learner;prentice,,hypernyms:novice | hyponyms:printer's devil,,,六级词汇
apron,noun,ˈeɪprən,围裙,,proscenium;forestage,,site | stage | paved surface | hypernyms:protective garment;site;stage;paved surface,,,六级词汇
apron,noun,ˈeɪprən,停机坪,,proscenium;forestage,,site | stage | paved surface | hypernyms:protective garment;site;stage;paved surface,,,六级词汇
apron,noun,ˈeɪprən,果岭前球道,,proscenium;forestage,,site | stage | paved surface | hypernyms:protective garment;site;stage;paved surface,,,六级词汇
arc,noun,ɑːk,圆弧,,discharge;spark;electric arc;electric discharge;bow,,curve | limb | rainbow | hypernyms:electrical conduction;curve | hyponyms:brush discharge;corona discharge;flashover;limb;rainbow,,,六级词汇
arch,noun,ɑːtʃ,（建筑学）一种砌体结构（通常呈弧形），用于跨越开口并支撑其上方的重量。,,archway,,skeletal structure | entrance | structure | abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch | hypernyms:curve;skeletal structure;entrance;structure | hyponyms:hemal arch;instep;metatarsal arch;neural arch;shoulder girdle;abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch,,,六级词汇
arch,noun,ɑːtʃ,拱形石砌建筑下的通道；他们建造了一座凯旋门以纪念胜利。,,archway,,skeletal structure | entrance | structure | abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch | hypernyms:curve;skeletal structure;entrance;structure | hyponyms:hemal arch;instep;metatarsal arch;neural arch;shoulder girdle;abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch,,,六级词汇
arch,noun,ɑːtʃ,拱形骨结构，用于支撑或包覆器官（尤指足内侧）。,,archway,,skeletal structure | entrance | structure | abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch | hypernyms:curve;skeletal structure;entrance;structure | hyponyms:hemal arch;instep;metatarsal arch;neural arch;shoulder girdle;abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch,,,六级词汇
arch,noun,ɑːtʃ,垂直平面上的弧形开口,,archway,,skeletal structure | entrance | structure | abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch | hypernyms:curve;skeletal structure;entrance;structure | hyponyms:hemal arch;instep;metatarsal arch;neural arch;shoulder girdle;abutment arch;broken arch;camber arch;corbel arch;flat arch;pier arch;pointed arch;proscenium arch;rampant arch;round arch;rowlock arch;safety arch;scoinson arch;segmental arch;shouldered arch;skeen arch;skew arch;squinch;trimmer arch;triumphal arch;tudor arch,,,六级词汇
archive,noun,/ˈɑːkaɪv/,存放历史记录和文件的档案库,,,,hypernyms:depository | hyponyms:chancery,,,六级词汇
arena,noun,/əˈriːnə/,体育赛事进行的场地,,sphere;domain;area;orbit;field;stadium;bowl;sports stadium;scene of action,,area | structure | playing field | amphitheater;ballpark;bullring;circus;dome;football stadium;hippodrome;skybox | circus | hypernyms:environment;area;structure;playing field | hyponyms:distaff;front;kingdom;lap;political arena;preserve;province;amphitheater;ballpark;bullring;circus;dome;football stadium;hippodrome;skybox,,,六级词汇
arena,noun,/əˈriːnə/,古罗马竞技场的中央区域，专用于举办比赛与表演，尤指铺撒沙土的场地。,,sphere;domain;area;orbit;field;stadium;bowl;sports stadium;scene of action,,area | structure | playing field | amphitheater;ballpark;bullring;circus;dome;football stadium;hippodrome;skybox | circus | hypernyms:environment;area;structure;playing field | hyponyms:distaff;front;kingdom;lap;political arena;preserve;province;amphitheater;ballpark;bullring;circus;dome;football stadium;hippodrome;skybox,,,六级词汇
aristocrat,noun,/ˈærɪstəkræt/,贵族成员,,blue blood;patrician,,hypernyms:leader | hyponyms:baronet;brahman;female aristocrat;highness;male aristocrat;prince;princess;raja;rani,,,六级词汇
array,noun,/əˈreɪ/,天线阵列，按间距布置以实现所需定向特性。,,raiment;regalia,,display | clothing | directional antenna | war paint | hypernyms:arrangement;display;clothing;directional antenna | hyponyms:bank;column;matrix;panoply;row;spectrum;table;war paint,,,六级词汇
array,noun,/əˈreɪ/,精美服饰,,raiment;regalia,,display | clothing | directional antenna | war paint | hypernyms:arrangement;display;clothing;directional antenna | hyponyms:bank;column;matrix;panoply;row;spectrum;table;war paint,,,六级词汇
array,noun,/əˈreɪ/,场面令人印象深刻；书籍琳琅满目，令人眼花缭乱；他的工具在地下室墙上整齐排列。,,raiment;regalia,,display | clothing | directional antenna | war paint | hypernyms:arrangement;display;clothing;directional antenna | hyponyms:bank;column;matrix;panoply;row;spectrum;table;war paint,,,六级词汇
array,noun,/əˈreɪ/,整齐排列；战斗队形中的部队阵列,,raiment;regalia,,display | clothing | directional antenna | war paint | hypernyms:arrangement;display;clothing;directional antenna | hyponyms:bank;column;matrix;panoply;row;spectrum;table;war paint,,,六级词汇
artery,noun,ˈɑːtəri,交通要道,,arteria;arterial blood vessel,,thoroughfare | hypernyms:blood vessel;thoroughfare | hyponyms:alveolar artery;angular artery;aorta;appendicular artery;arcuate artery;arcuate artery of the kidney;arteriole;artery of the penis bulb;artery of the vestibule bulb;ascending artery;auricular artery;axillary artery;basilar artery;brachial artery;bronchial artery;buccal artery;carotid artery;celiac trunk;central artery of the retina;cerebellar artery;cerebral artery;cervical artery;choroidal artery;ciliary artery;circle of willis;circumflex artery;colic artery;communicating artery;coronary artery;cystic artery;digital arteries;epigastric artery;ethmoidal artery;femoral artery;gastric artery;gluteal artery;hepatic artery;ileal artery;ileocolic artery;iliac artery;iliolumbar artery;infraorbital artery;innominate artery;intercostal artery;jejunal artery;labial artery;labyrinthine artery;lacrimal artery;laryngeal artery;lienal artery;lingual artery;lumbar artery;maxillary artery;meningeal artery;mesenteric artery;metacarpal artery;metatarsal artery;musculophrenic artery;nutrient artery;ophthalmic artery;ovarian artery;palatine artery;pancreatic artery;perineal artery;popliteal artery;pudendal artery;pulmonary artery;radial artery;rectal artery;renal artery;subclavian artery;testicular artery;ulnar artery;uterine artery;vaginal artery;vertebral artery,,,六级词汇
