topic,category,level,explanation,example,key_points
"定语从句","从句","四级","修饰名词或代词的从句。关系代词：who(人/主语)、whom(人/宾语)、which(物)、that(人物均可)、whose(所属)。关系副词：when/where/why。","The book that I bought yesterday is very useful. 我昨天买的那本书很有用。","限制性 vs 非限制性定语从句（逗号分隔）；that 不用于非限制性定语从句"
"名词性从句","从句","六级","在句中起名词作用的从句，包括主语从句、宾语从句、表语从句、同位语从句。引导词：that/whether/if/wh-词。","What you need is more practice. 你需要的是更多练习。","that 在宾语从句中可省略；whether 与 if 的区别"
"状语从句","从句","四级","修饰动词、形容词或副词，表示时间、地点、原因、条件、目的、结果、让步、方式、比较。","Although it was difficult, she never gave up. 虽然很难，但她从不放弃。","时态一致性：主将从现（主句将来时，时间/条件状语从句用现在时）"
"倒装句","特殊句型","六级","将谓语或助动词提到主语之前。完全倒装：Here comes the bus. 部分倒装：Only by practicing can you improve. 否定词前置倒装：Never have I seen such a beautiful sunset.","Not only does reading improve vocabulary, but it also enhances writing skills. 阅读不仅提高词汇量，还提升写作能力。","常见触发词：only/never/seldom/hardly/not only/no sooner"
"强调句","特殊句型","六级","It is/was + 被强调部分 + that/who + 其他。可强调主语、宾语、状语等。","It is through daily practice that you can master English. 正是通过每日练习你才能掌握英语。","强调人时用 who 或 that；强调其他成分只用 that"
"非谓语动词(不定式)","非谓语动词","四级","to + 动词原形。可作主语、宾语、定语、状语、补语。","To learn English well requires patience. 学好英语需要耐心。","疑问词 + to do；感官动词后用不带 to 的不定式；it 作形式主语"
"非谓语动词(动名词)","非谓语动词","四级","动词-ing 形式作名词用。","Speaking English fluently is her goal. 流利地说英语是她的目标。","只接动名词的动词：enjoy/mind/suggest/practice/avoid/consider/finish"
"非谓语动词(分词)","非谓语动词","六级","现在分词(-ing)表示主动或进行；过去分词(-ed/不规则)表示被动或完成。可作定语、状语、补语。","Feeling tired, she went to bed early. 感到累了，她早早睡了。","分词作状语时，逻辑主语须与主句主语一致"
"情态动词","词法","四级","表示能力、可能性、义务、许可等。can/could/may/might/must/should/will/would。","You should review the words you learned today. 你应该复习今天学的单词。","must 表示推测(肯定)/必须；mustn't 表示禁止；needn't 表示不必"
"冠词","词法","四级","a/an 用于可数名词单数（泛指）；the 用于特指、独一无二的事物、序数词/最高级前。","An apple a day keeps the doctor away. 一天一个苹果，医生远离我。","零冠词：不可数名词泛指/三餐/球类/学科/专有名词前不加冠词"
"名词单复数","词法","四级","可数名词复数加 -s/-es；以辅音+y 结尾变 y 为 i 加 -es；不规则复数如 man→men, child→children。","There are many opportunities to practice English. 有很多练习英语的机会。","集体名词如 people/police/cattle 本身表示复数；information/advice/news 为不可数名词"
"比较级与最高级","词法","四级","单音节词加 -er/-est；多音节词用 more/most；不规则：good→better→best, bad→worse→worst。","The more you practice, the better your English will be. 你练习得越多，你的英语就会越好。","the + 比较级, the + 比较级(越...越...)；比较级的修饰语 much/far/a lot/slightly"
"主谓一致","词法","六级","主语和谓语在数和人称上保持一致。单数主语用单数动词，复数主语用复数动词。","Neither the teacher nor the students agree with the decision. 老师和学生都不同意这个决定。","就近原则：either...or/neither...nor/not only...but also；就远原则：with/together with/as well as"
"反义疑问句","特殊句型","六级","前肯后否，前否后肯。陈述部分用肯定，疑问部分用否定（反之亦然）。","You have finished your homework, haven't you? 你做完作业了，不是吗？","祈使句的反义疑问：Let's 用 shall we；其他祈使用 will you"
"独立主格结构","特殊句型","托福雅思","名词/代词 + 分词/不定式/形容词/介词短语，在句中作状语。","Weather permitting, we will go for a picnic. 天气允许的话，我们去野餐。","独立主格有自己的逻辑主语，与主句主语不同"
"介词搭配","词法","四级","常用介词搭配：depend on(依赖)、belong to(属于)、suffer from(遭受)、compare with/to(比较)、prevent from(阻止)。","Learning English depends on consistent practice. 学英语取决于持续练习。","介词短语作状语/定语/表语；注意英汉介词用法的不同"
